id,store_code,store_name,store_status,owner_code,owner_name,owner_level,third_party_code,province,city,district,address,phone,contact_person,warehouse,balance,created_at,channel,customer_type,salesman,salesman_code,salesman_phone,backup_phone,unload_fee,specified_location_fee,delivery_to_store,delivery_to_locker,transfer_delivery,delivery_time_slot,customer_tags,import_time
24,KH2026012005648,制茶青年-固安彭村店（发渠沟）,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,固安县,渠沟乡渠沟红绿灯东侧100米北制茶青年,13321118300,蔡钰,天津仓,0.00,2026-01-20 16:38:44,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.998244
25,KH2026011700107,保定赵北口店（上午收货其他时间不收）,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,安新县,赵北口镇东街晚市中段制茶青年,18600939985,陈菲,天津仓,0.00,2026-01-17 12:03:02,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.999398
26,KH2025122900301,制茶青年-河北沧州河间诗经店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,河间市,诗经村镇855县道诗经加油站旁边制茶青年,18233788896,边晨东,天津仓,0.00,2025-12-29 16:26:40,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.999956
27,KH2025122700496,制茶青年-河北保定关城店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,安新县,端村镇关城村安和大药房附近制茶青年,15100814927,柴亚楠,天津仓,0.00,2025-12-27 17:43:01,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.000468
28,KH2025121800457,制茶青年-沧州同创百货店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,河间市,城垣西路街道同创百货F1-0157-01底商制茶青年,13333360129,刘影川,天津仓,0.00,2025-12-18 14:38:03,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.001013
29,KH2025121700099,制茶青年-保定雄县北沙口店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,雄县,北沙口乡行政大厅对面制茶青年,18733656207,李诚,天津仓,0.00,2025-12-17 12:01:53,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.001502
30,KH2025120300161,制茶青年-河北保定张登店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,清苑区,张登镇张登村永信牙科对面制茶青年,15075238381,李女士,天津仓,0.00,2025-12-03 15:46:19,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.001960
31,KH2025112500464,制茶青年-河北高阳李果庄店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,任丘市,出岸镇四村津保路路北向东五金西测制茶青年,15630732532,孙翠娇,天津仓,0.00,2025-11-25 17:56:21,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.002456
32,KH2025112300016,制茶青年-文安新镇口头村店01,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,文安县,新镇镇新区路与新区街交叉口南60米制茶青年,17731657422,高鑫,天津仓,0.00,2025-11-23 13:20:06,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.003030
33,KH2025111500030,制茶青年-河北文安彭耳湾店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,文安县,赵各庄镇彭耳湾制茶青年,17367925693,李聪颖,天津仓,0.00,2025-11-15 11:45:10,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.003743
34,KH2025110200059,制茶青年-河北青县大杜庄店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,青县,金牛镇青河线大杜庄中学东北侧约290米制茶青年,13722668041,吴红芹,廊坊仓,0.00,2025-11-02 15:54:44,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.004367
35,KH2025110100211,制茶青年-河北雄县二中店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,雄县,"雄安新区雄县雄州镇南关,雄州第一中学加油站旁边制茶青年",18733074678,苏练练,廊坊仓,0.00,2025-11-01 12:35:55,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.004931
36,KH2025102700262,制茶青年-河北河间沙洼店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,河间市,沙洼乡天康大药房西10米制茶青年,18032701915,张佳慧,廊坊仓,0.00,2025-10-27 12:15:52,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.005429
37,KH2025101300176,制茶青年-河北保定徐水区釜阳花园店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,徐水区,大王店镇釜阳花园商业街美尔特超市一楼门口左侧制茶青年,16630253530,王芳,廊坊仓,0.00,2025-10-13 14:46:05,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.006009
38,KH2025101300172,制茶青年-河北沧州纸房头店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,沧县,纸房头乡赵一鸣零食旁制茶青年,15630756211,刘彦辉,廊坊仓,0.00,2025-10-13 14:42:11,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.006666
39,KH2025101101003,制茶青年-廊坊大城南崔庄子店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,大城县,臧屯镇子村超亮超市（南崔庄子店）旁制茶青年,18531637444,郑海,天津仓,0.00,2025-10-11 15:33:12,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.007131
40,KH2025092900395,制茶青年-沧州任丘万达广场店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,任丘市,北站西路与昆仑南道交叉口任丘万达广场制茶青年,15631766062,张亮,天津仓,0.00,2025-09-29 15:47:01,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.007540
41,KH2025092800415,制茶青年-河北沧州南皮潞灌镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,南皮县,五垒城路与平安道交叉口东南方向45米左右制茶青年,17736965327,冯平平,廊坊仓,0.00,2025-09-28 15:06:32,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.007948
42,KH2025092600222,制茶青年-永清养马庄店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,永清县,西养马庄制茶青年,17800368886,王宇腾,廊坊仓,0.00,2025-09-26 14:52:20,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.008344
43,KH2025092400691,制茶青年-河北涿州向阳店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,涿州市,码头镇向阳商业街88号,18833654153,袁欢乐,廊坊仓,0.00,2025-09-24 15:26:40,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.008791
44,KH2025092400170,制茶青年-河北廊坊三河市皇庄镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,三河市,皇庄镇赵一鸣零食旁制茶青年,18279801772,龚学蕴,廊坊仓,0.00,2025-09-24 11:18:37,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.009194
45,KH2025092200495,河南膳乡客餐饮管理有限公司,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河南省,郑州市,管城回族区,紫荆山路裕鸿国际D座511,15517176488,河南膳乡客餐饮管理有限公司,天津仓,0.00,2025-09-22 18:14:19,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.009661
46,KH2025091700453,制茶青年-天津精武镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,天津市,天津城区,西青区,精武镇付村星期八小镇商业街制茶青年,17636467679,高强,天津仓,0.00,2025-09-17 14:03:13,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.010185
47,KH2025091600150,制茶青年-河北保定蠡县林堡店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,蠡县,林堡乡林堡村林曲路中学旁制茶青年,13582295273,孙亚楠,廊坊仓,0.00,2025-09-16 15:39:18,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.011069
48,KH2025091500498,制茶青年-任丘谢刘场店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,任丘市,中华路街道京开北道张桥制茶青年,19948393303,张巧敏,天津仓,0.00,2025-09-15 15:50:41,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.011981
49,KH2025091100280,制茶青年-献县西双坦店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,献县,郭庄镇幸福大道制茶青年,15075740580,苗俊霞,廊坊仓,0.00,2025-09-11 14:49:28,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.015440
50,KH2025090800186,制茶青年-沧州渤海理工职业学院店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,黄骅市,北海路1777号渤海理工职业学院制茶青年,15613430901,高娆,廊坊仓,0.00,2025-09-08 14:44:00,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.015766
51,KH2025090400666,制茶青年-沧州肃宁韩村店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,肃宁县,河北乡韩村完小小学旁（肃宁县河龙街与育才路交叉路口往东南约90米）制茶青年,15233787642,祁娅妹,廊坊仓,0.00,2025-09-04 15:29:08,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.016120
52,KH2025090300026,制茶青年-离石吕梁学院附中店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,山西省,吕梁市,离石区,西属巴街道临安路吕梁学院附中东制茶青年,13753831585,高照兰,廊坊仓,0.00,2025-09-03 09:55:52,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.016415
53,KH2025090200571,制茶青年-北京昌平区店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,北京市,北京城区,昌平区,北七家镇平西府村东北兄弟烧烤(北清路店)旁制茶青年,17501120036,王松,廊坊仓,0.00,2025-09-02 14:30:27,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.017232
54,KH2025082900367,制茶青年-保定农业大学店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,莲池区,灵雨寺街302号河北农业大学制茶青年,17367563376,邱学会,廊坊仓,0.00,2025-08-29 14:47:06,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.018024
55,KH2025082800146,制茶青年-河北献县乐寿阳光悦城店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,献县,乐寿镇高庄村乐寿大街93号制茶青年,15076749005,刘闯,天津仓,0.00,2025-08-28 14:38:42,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.018337
56,KH2025082700228,制茶青年-河北大城二中店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,大城县,平舒镇南环路二中对过凯达小区南门制茶青年,18730606691,田倩倩,廊坊仓,0.00,2025-08-27 12:49:05,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.018707
57,KH2025082400097,制茶青年-河北沧州青县流河镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,青县,流河镇制茶青年,15703160759,李建霞,廊坊仓,0.00,2025-08-24 16:14:22,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.019036
58,KH2025082300063,制茶青年-河北保定涞水一小店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,涞水县,德成路173号制茶青年,15011258563,陈晓颖,廊坊仓,0.00,2025-08-23 11:34:29,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.019350
59,KH2025082300060,制茶青年-河北保定蠡县北郭丹店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,蠡县,北郭丹镇北郭丹村镇政府对面制茶青年,15632223680,夏丽红,廊坊仓,0.00,2025-08-23 11:30:39,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.019653
60,KH2025082102329,制茶青年-河北保定清苑二中店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,清苑区,清苑镇迎宾西街205号制茶青年,15831252420,付敬,廊坊仓,0.00,2025-08-21 14:41:08,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.019981
61,KH2025082000310,制茶青年-河北保定蠡县张村营店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,蠡县,小陈镇张村营村民委员会,18331782782,李小辉,廊坊仓,0.00,2025-08-20 15:59:45,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.020618
62,KH2025081800166,制茶青年-河北青县盘古镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,青县,盘古镇青官线盘古社区对面制茶青年,15530757918,孙佳,廊坊仓,0.00,2025-08-18 14:58:50,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.020961
63,KH2025081400097,制茶青年-沧州青县曹寺镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,青县,曹寺镇小王快餐旁制茶青年,13383066721,翟星晨,廊坊仓,0.00,2025-08-14 12:44:07,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.021327
64,KH2025081300217,制茶青年-河北霸州锦绣华府店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,霸州市,霸州镇东关五街锦绣华府小区北门往东100路南制茶青年,15230626386,杨涛,廊坊仓,0.00,2025-08-13 11:56:08,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.021641
65,KH2025080400622,制茶青年-河北沧州捷地回族乡店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,沧县,捷地乡捷地村沧县二中南100米制茶青年,18331758558,杨冠忠,廊坊仓,0.00,2025-08-04 17:03:41,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.022147
66,KH2025073000090,制茶青年-河北保定蠡县万安镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,蠡县,万安镇刘铭庄小学道口南行50米路东【茗香茶苑旁边】制茶青年,15127228978,刘天聪,天津仓,0.00,2025-07-30 15:00:43,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.022453
67,KH2025072600044,制茶青年-周家务,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,固安县,曲沟乡周家务村,15243311927,马永明,廊坊仓,0.00,2025-07-26 11:10:06,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.022735
609,KH2025090400190,油麻港辣子鸡手擀面（金蓝湾店）,启用,HZ2026000001,郑州洛点餐饮管理有限公司,,,河南省,郑州市,惠济区,银河路1号-43号,18337808001,赵瑞肖,郑州仓,,2026-05-13 13:35:02.063698,,,,,,,,,,,,,,2026-05-13 13:35:02.063698
68,KH2025072600039,制茶青年-河北河间冠捷官邸店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,河间市,城垣中路冠捷官邸西区3-104制茶青年,15631762215,韩庆奥,廊坊仓,0.00,2025-07-26 10:17:52,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.022988
69,KH2025072300617,制茶青年-河北河间四实验店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,河间市,市第四实验小学制茶青年,18732731944,尹女士,廊坊仓,0.00,2025-07-23 15:59:55,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.023578
70,KH2025072201993,制茶青年-河北河间武垣北街店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,任丘市,北汉乡刘家铺村,15231707660,王克宁,廊坊仓,0.00,2025-07-22 18:00:22,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.023819
71,KH2025071900329,制茶青年-河北雄县绿源小区店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,雄县,将台路453号绿源小区西北侧制茶青年,15931283073,李彪,廊坊仓,0.00,2025-07-19 16:02:04,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.024066
72,KH2025071701049,制茶青年-河北献县刘尚庄店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,献县,高官乡刘尚庄村刘尚庄卫生室对面制茶青年,15632731237,杨黎明,天津仓,0.00,2025-07-17 16:43:31,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.024298
73,KH2025071600125,制茶青年-河北保定涿州豆庄店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,涿州市,兴豆路豆庄卫生院西侧约150米制茶青年,18331448847,丁勇,廊坊仓,0.00,2025-07-16 16:01:34,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.024577
74,KH2025070701248,制茶青年-河北任丘东风小学店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,任丘市,永丰路街道燕山南道东风小学东行50米,15100777003,李慧慧,廊坊仓,0.00,2025-07-07 19:31:01,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:23.024832
